"id";"relevance";"date_added";"article_id";"entity_id"
1;0.0;"2017-04-14 19:18:28";1;30
2;0.2;"2017-04-14 19:18:28";1;1013
3;0.2;"2017-04-14 19:18:29";1;1014
4;0.2;"2017-04-14 19:18:29";1;1015
5;0.2;"2017-04-14 19:18:29";1;119
6;0.2;"2017-04-14 19:18:29";1;1016
7;0.2;"2017-04-14 19:18:29";1;1017
8;0.2;"2017-04-14 19:18:29";1;1018
9;0.2;"2017-04-14 19:18:29";1;1019
10;0.2;"2017-04-14 19:18:30";1;1020
11;0.2;"2017-04-14 19:18:30";1;1021
12;0.2;"2017-04-14 19:18:30";1;1022
13;0.2;"2017-04-14 19:18:30";1;1023
14;0.2;"2017-04-14 19:18:30";1;1024
15;0.2;"2017-04-14 19:18:30";1;1025
16;0.2;"2017-04-14 19:18:40";2;1026
17;0.2;"2017-04-14 19:18:40";2;867
18;0.8;"2017-04-14 19:18:40";2;146
19;0.2;"2017-04-14 19:18:40";2;1027
20;0.2;"2017-04-14 19:18:41";2;17
21;0.2;"2017-04-14 19:18:41";2;945
22;0.2;"2017-04-14 19:18:41";2;1028
23;0.2;"2017-04-14 19:18:41";2;1029
24;0.2;"2017-04-14 19:18:41";2;1030
25;0.2;"2017-04-14 19:18:41";2;460
26;0.2;"2017-04-14 19:18:41";2;1031
27;0.2;"2017-04-14 19:18:41";2;153
28;0.2;"2017-04-14 19:18:41";2;850
29;0.2;"2017-04-14 19:18:41";2;466
30;0.2;"2017-04-14 19:18:41";2;495
31;0.2;"2017-04-14 19:18:42";2;1032
32;0.2;"2017-04-14 19:18:42";2;1033
33;0.2;"2017-04-14 19:18:42";2;156
34;0.8;"2017-04-14 19:18:42";2;974
35;0.0;"2017-04-14 19:18:42";2;200
36;0.2;"2017-04-14 19:18:42";2;1034
37;0.2;"2017-04-14 19:18:42";2;1035
38;0.2;"2017-04-14 19:18:42";2;1036
39;0.2;"2017-04-14 19:18:42";2;1037
40;0.2;"2017-04-14 19:18:43";2;1038
41;0.2;"2017-04-14 19:18:43";2;1039
42;0.2;"2017-04-14 19:18:43";2;142
43;0.2;"2017-04-14 19:18:43";2;1040
44;0.2;"2017-04-14 19:18:43";2;1041
45;0.2;"2017-04-14 19:18:43";2;1042
46;0.2;"2017-04-14 19:18:44";2;1043
47;0.2;"2017-04-14 19:18:44";2;1044
48;0.2;"2017-04-14 19:18:44";2;1045
49;0.2;"2017-04-14 19:18:44";2;1046
50;0.2;"2017-04-14 19:18:44";2;970
51;0.2;"2017-04-14 19:18:48";3;1047
52;0.2;"2017-04-14 19:18:48";3;1048
53;0.2;"2017-04-14 19:18:48";3;602
54;0.2;"2017-04-14 19:18:49";3;1049
55;0.2;"2017-04-14 19:18:49";3;1050
56;0.2;"2017-04-14 19:18:51";4;175
57;0.2;"2017-04-14 19:18:51";4;1051
58;0.2;"2017-04-14 19:18:51";4;1052
59;0.2;"2017-04-14 19:18:51";4;1053
60;0.2;"2017-04-14 19:18:52";4;1054
61;0.2;"2017-04-14 19:18:52";4;1055
62;0.2;"2017-04-14 19:18:52";4;1056
63;0.2;"2017-04-14 19:18:52";4;1057
64;0.2;"2017-04-14 19:18:53";4;1058
65;0.2;"2017-04-14 19:18:53";4;1059
66;0.2;"2017-04-14 19:18:53";4;1060
67;0.2;"2017-04-14 19:18:56";5;1061
68;0.2;"2017-04-14 19:18:56";5;1062
69;0.0;"2017-04-14 19:18:57";5;1063
70;0.2;"2017-04-14 19:18:57";5;1064
71;0.2;"2017-04-14 19:19:00";6;1065
72;0.2;"2017-04-14 19:19:00";6;1066
73;0.2;"2017-04-14 19:19:00";6;1067
74;0.2;"2017-04-14 19:19:01";6;1068
75;0.2;"2017-04-14 19:19:01";6;1069
76;0.2;"2017-04-14 19:19:01";6;1070
77;0.8;"2017-04-14 19:19:01";6;1071
78;0.2;"2017-04-14 19:19:01";6;1072
79;0.2;"2017-04-14 19:19:01";6;1073
80;0.2;"2017-04-14 19:19:02";6;1074
81;0.2;"2017-04-14 19:19:06";7;1075
82;0.2;"2017-04-14 19:19:06";7;1076
83;0.2;"2017-04-14 19:19:06";7;1077
84;0.2;"2017-04-14 19:19:07";7;1078
85;0.2;"2017-04-14 19:19:07";7;80
86;0.2;"2017-04-14 19:19:07";7;1079
87;0.2;"2017-04-14 19:19:07";7;1080
88;0.2;"2017-04-14 19:19:08";7;1081
89;0.2;"2017-04-14 19:19:08";7;1082
90;0.2;"2017-04-14 19:19:08";7;1083
91;0.2;"2017-04-14 19:19:08";7;1084
92;0.2;"2017-04-14 19:19:08";7;1085
93;0.2;"2017-04-14 19:19:08";7;1086
94;0.2;"2017-04-14 19:19:08";7;1087
95;0.2;"2017-04-14 19:19:09";7;1088
96;0.2;"2017-04-14 19:19:09";7;1089
97;0.2;"2017-04-14 19:19:09";7;1090
98;0.2;"2017-04-14 19:19:09";7;1091
99;0.2;"2017-04-14 19:19:09";7;1092
100;0.8;"2017-04-14 19:19:09";7;1093
101;0.2;"2017-04-14 19:19:10";7;1094
102;0.2;"2017-04-14 19:19:10";7;1095
103;0.2;"2017-04-14 19:19:10";7;1096
104;0.2;"2017-04-14 19:19:10";7;1097
105;0.2;"2017-04-14 19:19:11";7;1098
106;0.2;"2017-04-14 19:19:11";7;260
107;0.8;"2017-04-14 19:19:11";7;1099
108;0.2;"2017-04-14 19:19:11";7;1100
109;0.2;"2017-04-14 19:19:24";9;1101
110;0.2;"2017-04-14 19:19:24";9;1102
111;0.2;"2017-04-14 19:19:25";9;1103
112;0.2;"2017-04-14 19:19:25";9;1104
113;0.2;"2017-04-14 19:19:25";9;1105
114;0.2;"2017-04-14 19:19:25";9;1106
115;0.2;"2017-04-14 19:19:31";10;1107
116;0.2;"2017-04-14 19:19:32";10;61
117;0.2;"2017-04-14 19:19:32";10;200
118;0.2;"2017-04-14 19:19:32";10;1108
119;0.2;"2017-04-14 19:19:32";10;1109
120;0.8;"2017-04-14 19:19:32";10;1110
121;0.2;"2017-04-14 19:19:32";10;1111
122;0.2;"2017-04-14 19:19:32";10;1112
123;0.2;"2017-04-14 19:19:32";10;1113
124;0.2;"2017-04-14 19:19:33";10;1114
125;0.2;"2017-04-14 19:19:33";10;1115
126;0.2;"2017-04-14 19:19:33";10;1116
127;0.5;"2017-04-14 19:19:34";10;1117
128;0.2;"2017-04-14 19:19:34";10;1118
129;0.2;"2017-04-14 19:19:34";10;1119
130;0.2;"2017-04-14 19:19:34";10;1120
131;0.2;"2017-04-14 19:19:34";10;1121
132;0.2;"2017-04-14 19:19:34";10;1122
133;0.2;"2017-04-14 19:19:35";10;1123
134;0.2;"2017-04-14 19:19:35";10;1124
135;0.2;"2017-04-14 19:19:35";10;1125
136;0.2;"2017-04-14 19:19:35";10;1126
137;0.2;"2017-04-14 19:19:36";10;1127
138;0.2;"2017-04-14 19:19:36";10;1128
139;0.2;"2017-04-14 19:19:36";10;1129
140;0.8;"2017-04-14 19:19:41";11;1130
141;0.2;"2017-04-14 19:19:41";11;898
142;0.2;"2017-04-14 19:19:41";11;1131
143;0.2;"2017-04-14 19:19:41";11;1132
144;0.2;"2017-04-14 19:19:41";11;1133
145;0.2;"2017-04-14 19:19:41";11;1134
146;0.2;"2017-04-14 19:19:41";11;1135
147;0.2;"2017-04-14 19:19:41";11;1136
148;0.2;"2017-04-14 19:19:42";11;1137
149;0.2;"2017-04-14 19:19:42";11;1138
150;0.2;"2017-04-14 19:19:42";11;1139
151;0.2;"2017-04-14 19:19:42";11;1140
152;0.2;"2017-04-14 19:19:42";11;1141
153;0.2;"2017-04-14 19:19:42";11;1142
154;0.2;"2017-04-14 19:19:42";11;250
155;0.0;"2017-04-14 19:19:45";12;200
156;0.8;"2017-04-14 19:19:45";12;1143
157;0.2;"2017-04-14 19:19:45";12;1144
158;0.2;"2017-04-14 19:19:45";12;80
159;0.8;"2017-04-14 19:19:45";12;1145
160;0.2;"2017-04-14 19:19:45";12;1146
161;0.2;"2017-04-14 19:19:57";14;1147
162;0.2;"2017-04-14 19:19:57";14;1148
163;0.2;"2017-04-14 19:19:57";14;411
164;0.2;"2017-04-14 19:19:58";14;1149
165;0.2;"2017-04-14 19:19:58";14;794
166;0.2;"2017-04-14 19:19:58";14;116
167;0.2;"2017-04-14 19:19:58";14;1150
168;0.2;"2017-04-14 19:19:58";14;1151
169;0.2;"2017-04-14 19:19:58";14;1152
170;0.2;"2017-04-14 19:19:58";14;1153
171;0.2;"2017-04-14 19:19:58";14;558
172;0.2;"2017-04-14 19:19:59";14;1154
173;0.2;"2017-04-14 19:19:59";14;238
174;0.0;"2017-04-14 19:19:59";14;1155
175;0.2;"2017-04-14 19:20:00";14;1156
176;0.2;"2017-04-14 19:20:00";14;1157
177;0.2;"2017-04-14 19:20:01";14;1158
178;0.2;"2017-04-14 19:20:01";14;545
179;0.2;"2017-04-14 19:20:01";14;236
180;0.2;"2017-04-14 19:20:01";14;1159
181;0.2;"2017-04-14 19:20:01";14;1160
182;0.2;"2017-04-14 19:20:01";14;1138
183;0.2;"2017-04-14 19:20:01";14;1161
184;0.8;"2017-04-14 19:20:01";14;142
185;0.2;"2017-04-14 19:20:01";14;1162
186;0.2;"2017-04-14 19:20:02";14;1163
187;0.2;"2017-04-14 19:20:02";14;1164
188;0.2;"2017-04-14 19:20:02";14;1165
189;0.2;"2017-04-14 19:20:02";14;1166
190;0.2;"2017-04-14 19:20:02";14;1167
191;0.2;"2017-04-14 19:20:02";14;1168
192;0.2;"2017-04-14 19:20:02";14;1169
193;0.2;"2017-04-14 19:20:03";14;385
194;0.2;"2017-04-14 19:20:03";14;1131
195;0.2;"2017-04-14 19:20:03";14;1170
196;0.8;"2017-04-14 19:20:03";14;1171
197;0.2;"2017-04-14 19:20:03";14;1172
198;0.2;"2017-04-14 19:20:11";15;1173
